last,st,subcommittee,location,chamber,id,account,department,recipient.x,project.x,budget_request,additional_amount,amount.x,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,district,senate_class.x,party.x,bioguide_id,...1,...2,state,first,full_name.y,recipient.y,project.y,project_st,amount.y,senate_class.y,party.y,member_id,pvi_2020,request_num,ID,FY,middle,member_ID,suffix.y,nickname.y,birthday.y,gender.y,cat,sub,address.lon,address.lat,formatted_address.lon,formatted_address.lat,formatted_address.type,formatted_address.loctype,formatted_address.address,formatted_address.north,formatted_address.south,formatted_address.east,formatted_address.west,manual_check
Bennet,CO,FSGG,Denver,S,370,Salaries and Expenses,Small Business Administration (SBA),African Chamber of Commerce Colorado USA,The Colorado African Small Business Accelerator Program,NA,NA,1260000,NA,1,S,1260000,0,1,0,1260000,Michael,F.,NA,NA,Michael F. Bennet,11/28/64,M,NA,3,Democrat,B001267,2678,2678,Colorado,Michael,NA,"African Chamber of Commerce Colorado, USA","This project will support the African Chamber of Commerce small business accelerator to provide technical assistance, business development resources, and education services. This program will create economic growth and investment by empowering 36 Afr",CO,1260000,NA,2,NA,NA,1,8177,FY2023,F,B001267,NA,NA,NA,NA,Small Business,Education,-104.894311,39.69453,-104.894311,39.69453,establishment,rooftop,1250 s parker rd # 100-b,denver,co 80231,usa,"39.69585, 39.69315,-104.893094,-104.895792",NA
Blumenthal,CT,CJS,Mystic,S,671,NOAA-ORF,DOC,Sea Research Foundation Inc. DBA Mystic Aquarium,Blue Economy Career Development Center,NA,NA,650000,NA,2,S,325000,0,2,0,650000,Richard,NA,NA,NA,Richard Blumenthal,2/13/46,M,NA,3,Democrat,B001277,1641,1641,Connecticut,Richard,NA,"Sea Research Foundation, Inc. d/b/a Mystic Aquariu",Funding to establish the Blue Economy Career Development Center to create a pipeline for underserved youth in Eastern Connecticut.,CT,650000,NA,2,NA,NA,1,5164,FY2023,NA,B001277,NA,NA,NA,NA,Other - CJS,NA,-71.953158,41.37327,-71.953158,41.37327,establishment,rooftop,55 coogan blvd,mystic,ct 06355,usa,"41.37462, 41.37193, -71.951790, -71.954488",NA
Blumenthal,CT,FSGG,Haddam,S,373,Salaries and Expenses,Small Business Administration (SBA),Connecticut Resource Conservation & Development Area,Connecticut Farmer Resource Hub and Marketing Initiative,NA,NA,5550000,NA,2,S,2775000,0,2,0,5550000,Richard,NA,NA,NA,Richard Blumenthal,2/13/46,M,NA,3,Democrat,B001277,2680,2680,Connecticut,Richard,NA,Connecticut Resource Conservation&Development Area,Funding would create a Connecticut Veteran Farmer Educational Resource Hub and develop a Connecticut Veteran Farmer Grown marketing campaign.,CT,550000,NA,2,NA,NA,1,8179,FY2023,NA,B001277,NA,NA,NA,NA,Small Business,Education,-73.087749,41.60322,-73.087749,41.60322,administrative_area_level_1,approximate,connecticut,usa,42.05051,40.95094,"-71.787239, -73.727775",NA
Blumenthal,CT,FSGG,Stamford,S,519,Salaries and Expenses,Small Business Administration (SBA),Women's Business Development Council Inc.,Expanasion of Small Business Development Programs to Women-Owned Businesses in Connecticut,NA,NA,2000000,NA,3,B,666666.6667,1,2,666666.6667,1333333.333,Richard,NA,NA,NA,Richard Blumenthal,2/13/46,M,NA,3,Democrat,B001277,2518,2518,Connecticut,Richard,NA,"Women's Business Development Council, Inc.",Funding would support the expansion of the Women's Business Development Council programming to more women-owned businesses in Connecticut.,CT,2000000,NA,2,NA,NA,1,7719,FY2023,NA,B001277,NA,NA,NA,NA,Small Business,NA,-73.538661,41.05658,-73.538661,41.05658,establishment,rooftop,184 bedford st #201,stamford,ct 06901,usa,"41.05799, 41.05529, -73.537288, -73.539986",NA
Blunt,MO,CJS,St. Louis,S,1061,OJP-Byrne,DOJ,Greater St. Louis Inc. Foundation,Strengthening Downtown St. Louis Public Safety Program,NA,NA,1250000,NA,1,S,1250000,0,1,0,1250000,Roy,NA,NA,NA,Roy Blunt,1/10/50,M,NA,3,Republican,B000575,1074,1074,Missouri,Roy,NA,"Greater St. Louis, Inc. Foundation",Funding to support deployment of public safety technology and equipment in downtown St. Louis.,MO,1250000,NA,1,NA,NA,1,3115,FY2023,NA,B000575,NA,NA,NA,NA,Law Enforcement,NA,-90.189668,38.62753,-90.189668,38.62753,establishment,rooftop,one metropolitan square,211 n broadway suite 2200,st. louis,mo 63102,"usa, 38.62866, 38.62596, -90.188397, -90.191095",NA
Blunt,MO,MilCon VA,St. Joseph,S,1250,NA,Air National Guard,Rosecrans ANGB,Parking Apron: Planning and Design,NA,NA,2000000,NA,1,S,2000000,0,1,0,2000000,Roy,NA,NA,NA,Roy Blunt,1/10/50,M,NA,3,Republican,B000575,9639,9639,Missouri,Roy,NA,Rosecrans Air National Guard Base,Construction of a new properly sized and configured aircraft parking apron will support the current mission and training at Rosecrans Air National Guard Base for the 139th Airlift Wing.,MO,3000000,NA,1,NA,NA,1,28764,FY2023,NA,B000575,NA,NA,NA,NA,Training,NA,-94.902835,39.76783,-94.902835,39.76783,establishment,geometric_center,st joseph,mo 64503,usa,39.76924,"39.76655, -94.901488, -94.904185",NA
Blunt,MO,MilCon VA,St. Joseph,S,1246,NA,Air National Guard,Rosecrans ANGB,Maintenance Hangar: Planning and Design,NA,NA,3400000,NA,1,S,3400000,0,1,0,3400000,Roy,NA,NA,NA,Roy Blunt,1/10/50,M,NA,3,Republican,B000575,9639,9639,Missouri,Roy,NA,Rosecrans Air National Guard Base,Construction of a new properly sized and configured aircraft parking apron will support the current mission and training at Rosecrans Air National Guard Base for the 139th Airlift Wing.,MO,3000000,NA,1,NA,NA,1,28764,FY2023,NA,B000575,NA,NA,NA,NA,Training,NA,-94.902835,39.76783,-94.902835,39.76783,establishment,geometric_center,st joseph,mo 64503,usa,39.76924,"39.76655, -94.901488, -94.904185",NA
Booker,NJ,CJS,Camden,S,1063,OJP-Byrne,DOJ,Camden Center for Youth Development Inc.,Community Coaches,NA,NA,324000,NA,1,S,324000,0,1,0,324000,Cory,Anthony,NA,NA,Cory A. Booker,4/27/69,M,NA,2,Democrat,B001288,1126,1126,New Jersey,Cory,NA,"Camden Center for Youth Development, Inc.","to provide Community Coach Mentors (Credible Messenger), specific assistance and transportation services for at-risk or justice involved youth",NJ,324000,NA,2,NA,NA,1,3167,FY2023,A,B001288,NA,NA,NA,NA,Law Enforcement,NA,-75.122748,39.94748,-75.122748,39.94748,establishment,rooftop,315 cooper st,camden,nj 08102,usa,"39.94874, 39.94604, -75.121424, -75.124122",NA
Booker,NJ,FSGG,Phillipsburg,S,375,Salaries and Expenses,Small Business Administration (SBA),Norwescap Inc.,Norwescap Food Incubator,NA,NA,350000,NA,1,S,350000,0,1,0,350000,Cory,Anthony,NA,NA,Cory A. Booker,4/27/69,M,NA,2,Democrat,B001288,2718,2718,New Jersey,Cory,NA,"Norwescap, Inc.","For purchase, renovation of a building and start-up costs for a restaurant incubator and food service training program.",NJ,350000,NA,2,NA,NA,1,8217,FY2023,A,B001288,NA,NA,NA,NA,Small Business,Education,-75.183214,40.69427,-75.183214,40.69427,establishment,rooftop,350 marshall st,phillipsburg,nj 08865,usa,"40.69570, 40.69300, -75.181790, -75.184488",NA
Brown,OH,CJS,Ashtabula,S,1069,OJP-Byrne,DOJ,Homesafe Inc.,Homesafe Services,NA,NA,90000,NA,1,S,90000,0,1,0,90000,Sherrod,NA,NA,NA,Sherrod Brown,11/9/52,M,NA,1,Democrat,B000944,1245,1245,Ohio,Sherrod,NA,"Homesafe, Inc.","Project will hire two additional staff members to fulfill the legal advocacy positions; cover the remaining two court houses with staff on a regular basis, provide better means to mobile advocacy with additional staff, participate with on-site calls",OH,90000,NA,2,NA,NA,1,3286,FY2023,NA,B000944,NA,NA,NA,NA,Law Enforcement,NA,-80.789809,41.86505,-80.789809,41.86505,locality,approximate,ashtabula,oh 44004,usa,41.91165,"41.84358, -80.767381, -80.837195",NA
