last,state,chamber,id,subcommittee,account,department,recipient,location,project,budget_request,additional_amount,total,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,suffix,nickname,full_name,birthday,gender,district,senate_class,party,bioguide_id
Adams,NC,H,910,CJS,OJP-Byrne,DOJ,City of Charlotte,Charlotte,Alternatives To Violence: Cure Violence Implementation,NA,NA,1000000,NA,1,H,1000000,1,0,1000000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,911,CJS,OJP-Byrne,DOJ,Mecklenburg County Criminal Justice Services Department,Mecklenburg County,Data and Dashboards: Research and Enhancements to Ensure Mecklenburg County's Criminal Justice System is a Leader in Data-Informed Decision Making,NA,NA,1000000,NA,1,H,1000000,1,0,1000000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3040,THUD,Community Development Fund,Department of Housing and Urban Development,Carolina Farm Trust,NA,Local Foods Production & Distribution Center,NA,NA,4000000,NA,1,H,4000000,1,0,4000000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3041,THUD,Community Development Fund,Department of Housing and Urban Development,Town of Huntersville,Huntersville,Huntersville Lot Acquisition for Affordable Housing,NA,NA,2000000,NA,1,H,2000000,1,0,2000000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3042,THUD,Community Development Fund,Department of Housing and Urban Development,Local Initiatives Support Corporation- Charlotte,Charlotte,Historic West End Critical Home Repair Program,NA,NA,1500000,NA,1,H,1500000,1,0,1500000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3043,THUD,Community Development Fund,Department of Housing and Urban Development,Centralina Regional Council,Charlotte,North Mecklenburg County Housing Preservation Initiative,NA,NA,1000000,NA,1,H,1000000,1,0,1000000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3044,THUD,Community Development Fund,Department of Housing and Urban Development,"DreamKey Partners, Inc.",Druid Hills,Preservation of Affordable Housing in Druid Hills,NA,NA,1400000,NA,1,H,1400000,1,0,1400000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3045,THUD,Community Development Fund,Department of Housing and Urban Development,"ourBRIDGE, Inc.",Charlotte,Charlotte Center for Newcomers,NA,NA,1300000,NA,1,H,1300000,1,0,1300000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3046,THUD,Community Development Fund,Department of Housing and Urban Development,Foundation For The Carolinas,NA,"Carolina Theatre Restorationand Construction",NA,NA,750000,NA,1,H,750000,1,0,750000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
Adams,NC,H,3047,THUD,Community Development Fund,Department of Housing and Urban Development,We Build Concord,NA,WeBuild Concord Collective Impact for Affordable Housing,NA,NA,2000000,NA,1,H,2000000,1,0,2000000,0,Alma,S.,NA,NA,Alma S. Adams,5/27/46,F,12,NA,Democrat,A000370
