"last","st","chamber","id","subcommittee","account","department","recipient","location","project","budget_request","additional_amount","amount","first.x","multi","origination","member_amount","house_mem","sentate_mem","house_tot","senate_tot","first.y","middle_name","suffix","nickname","full_name","birthday","gender","district","senate_class","party","bioguide_id"
"Baldwin","WI","S",290,"AG","Rural Housing Service","USDA, Rural Development","Boys & Girls Club of Barron","Barron","Boys & Girls Club of Barron County New Building Project",NA,NA,5e+05,NA,1,"S",5e+05,0,1,0,5e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",292,"AG","Rural Housing Service","USDA, Rural Development","Sister Bay & Liberty Grove",NA,"Sister Bay & Liberty Grove",NA,NA,9e+05,NA,1,"S",9e+05,0,1,0,9e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",1962,"THUD","Highway Infrastructure Programs","Department of Transportation",NA,NA,"Blatnik Bridge",NA,NA,7500000,NA,1,"S",7500000,0,1,0,7500000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",3835,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"Latino Academy of Workforce Development, WI, for commercial driver's license workforce training",NA,NA,2e+06,NA,1,"S",2e+06,0,1,0,2e+06,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",3960,"LHHS","Employment and Training Administration","Department of Labor",NA,NA,"WI Department of Workforce Development, WI, for early childhood educator workforce development",NA,NA,5e+06,NA,1,"S",5e+06,0,1,0,5e+06,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",4495,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,NA,"Gerald L. Ignace Indian Health Center, WI, for facilities and equipment",NA,NA,9e+05,NA,1,"S",9e+05,0,1,0,9e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",4663,"LHHS","Health Resources and Services Administration","Department of Health and Human Services",NA,"Menominee","Menominee Indian Tribe of Wisconsin, WI, for facilities and equipment",NA,NA,1326000,NA,1,"S",1326000,0,1,0,1326000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",5089,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,"Brown County","Brown County, WI, for mental and behavioral health services",NA,NA,1e+05,NA,1,"S",1e+05,0,1,0,1e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",5170,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,"Milwaukee","Milwaukee County, WI, for substance use disorder treatment and services",NA,NA,2e+06,NA,1,"S",2e+06,0,1,0,2e+06,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",5249,"LHHS","Substance Use and Mental Health Services Administration","Department of Health and Human Services",NA,NA,"Wisconsin Department of Health Services, WI, for 988 implementation and suicide prevention, including equipment",NA,NA,3140000,NA,1,"S",3140000,0,1,0,3140000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
"Baldwin","WI","S",5693,"LHHS","Higher Education","Department of Education",NA,NA,"Milwaukee Area Technical College, WI, for welding training and education programs",NA,NA,310000,NA,1,"S",310000,0,1,0,310000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230"
