last.x,st.x,subcommittee.x,recipient.x,location.x,project.x,amount.x,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,senate_class.x,party.x,state.x,first.x,project_st.x,member_id.x,pvi_2020.x,request_num.x,ID.x,FY.x,middle.x,member_ID.x,cat.x,sub.x,address.lon.x,address.lat.x,formatted_address.lon.x,formatted_address.lat.x,formatted_address.type.x,formatted_address.loctype.x,formatted_address.address.x,formatted_address.north.x,formatted_address.south.x,formatted_address.east.x,formatted_address.west.x,recipient.y,location.y,project.y,amount.y,suffix.y,nickname.y,full_name.y,birthday.y,gender.y,senate_class.y,party.y,state.y,first.y,project_st.y,member_id.y,pvi_2020.y,request_num.y,ID.y,FY.y,middle.y,member_ID.y,cat.y,sub.y,address.lon.y,address.lat.y,formatted_address.lon.y,formatted_address.lat.y,formatted_address.type.y,formatted_address.loctype.y,formatted_address.address.y,formatted_address.north.y,formatted_address.south.y,formatted_address.east.y,formatted_address.west.y,chamber,id,account,department,budget_request,additional_amount,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,district,bioguide_id,recipient.x,recipient.y,project.x,project.y,amount.x,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,senate_class.x,party.x,...35,...36,full_name.y,amount.y,senate_class.y,party.y,suffix.y,nickname.y,birthday.y,gender.y,...1,...2
Baldwin,WI,AG,Boys & Girls Club of Barron,Barron,Boys & Girls Club of Barron County New Building Project,500000.0,,,Tammy Baldwin,2/11/62,F,1.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Boys & Girls Club of Barron County,Rice Lake,New building project,500000.0,,,,,,,2,Wisconsin,Tammy,WI,,,1,1245,FY2023,,B001230,Rural Development,,,,,,,,,,,,,S,290,Rural Housing Service,"USDA, Rural Development",,,,1.0,S,500000.0,0,1,0.0,500000.0,Tammy,,,B001230,,,,,,,,,,,,,,,,,,,,,,,709,709
Baldwin,WI,AG,Sister Bay & Liberty Grove,,Sister Bay & Liberty Grove,900000.0,,,Tammy Baldwin,2/11/62,F,1.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Sister Bay & Liberty Grove Fire Department,Sister Bay,Emergency Response Apparatus Replacement,900000.0,,,,,,,2,Wisconsin,Tammy,WI,,,1,1247,FY2023,,B001230,Rural Development,,-87.120945,45.18721,-87.120945,45.18721,locality,approximate,sister bay,wi,usa,45.20024,"45.17095, -87.104796, -87.151263",S,292,Rural Housing Service,"USDA, Rural Development",,,,1.0,S,900000.0,0,1,0.0,900000.0,Tammy,,,B001230,,,,,,,,,,,,,,,,,,,,,,,711,711
Baldwin,WI,EW,U.S. Army Corps of Engineers,Menominee River,"Menominee River Deepening, MI & WI",600000.0,,,Tammy Baldwin,2/11/62,F,1.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Army Corps of Engineers (Civil),Marinette,Menominee River Deepening,1300000.0,,,,,,,2,Wisconsin,Tammy,WI,,,1,6750,FY2023,,B001230,Water,,-87.630662,45.09998,-87.630662,45.09998,locality,approximate,marinette,wi 54143,usa,45.11332,"45.06711, -87.576664, -87.670019",S,6977,Investigations,Army Corps of Engineers (Civil),,600000.0,,2.0,S,300000.0,0,2,0.0,600000.0,Tammy,,,B001230,,,,,,,,,,,,,,,,,,,,,,,2365,2365
Bennet,CO,THUD,,,Peterson Space Force Base North Gate Access and Safety improvements,500000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,CDOT,Colorado Springs,This project will enable the City of Colorado Springs to complete an engineering design for improved multimodal infrastructure at the Peterson Airforce Base North Gate. This will improve access to non-base related retail spaces and neighborhoods.,500000.0,,,,,,,2,Colorado,Michael,CO,,,1,40800,FY2023,F,B001267,Other - THUD,,-104.8002,38.78866,-104.8002,38.78866,establishment,rooftop,1480 quail lake loop # a,colorado springs,co 80906,usa,"38.78997, 38.78727,-104.798863,-104.801561",S,1541,Highway Infrastructure Programs,Department of Transportation,,,,2.0,S,250000.0,0,2,0.0,500000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,13842,13842
Bennet,CO,THUD,"New Dance Theatre, Inc. dba Cleo Parker Robinson Dance",,Cleo Parker Campus Expansion,1000000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Cleo Parker Robinson Dance,Denver,"This project will support the expansion of the Cleo Parker campus by constructing a new facility. This expansion will enable the organization to dramatically expand their education and job training programs, including partnerships with local universi",2000000.0,,,,,,,2,Colorado,Michael,CO,,,1,37693,FY2023,F,B001267,Urban Development,,-104.9785,39.74799,-104.9785,39.74799,establishment,rooftop,119 park ave w,denver,co 80205,usa,"39.74922, 39.74652,-104.977046,-104.979744",S,2370,Community Development Fund,Department of Housing and Urban Development,,,,1.0,S,1000000.0,0,1,0.0,1000000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,12658,12658
Bennet,CO,THUD,Archway Housing & Services Inc.,,Archway Communities Park Hill Campus Rehabilitation,3000000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Archway Housing & Services,Denver,This project will support the renovation of four historic dormitory buildings on the former Johnson & Wales University campus into affordable housing units. This development would create up to 154 affordable housing units and bring new educational an,5000000.0,,,,,,,2,Colorado,Michael,CO,,,1,30196,FY2023,F,B001267,Housing,,,,,,,,,,,,,S,2373,Community Development Fund,Department of Housing and Urban Development,,,,2.0,S,1500000.0,0,2,0.0,3000000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,10106,10106
Bennet,CO,THUD,YWCA of Pueblo,,YWCA of Pueblo Childcare Cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YMCA of Pueblo,Pueblo,This project will enable the YMCA of Pueblo to expand their facility to provide an additional four preschool classrooms and move the playground. This will help the preschool to expand their capacity by 80 preschool students and better serve the commu,1806000.0,,,,,,,2,Colorado,Michael,CO,,,1,37709,FY2023,F,B001267,Urban Development,,-104.6562,38.30433,-104.6562,38.30433,establishment,rooftop,3200 e spaulding ave,pueblo,co 81008,usa,"38.30564, 38.30294,-104.655165,-104.657863",S,2378,Community Development Fund,Department of Housing and Urban Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12674,12674
Bennet,CO,THUD,Children's Advocacy Center for the Pikes Peak Region Inc.,,Child Advocacy Center Construc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Children's Advocacy Center for the Pikes Peak Regi,Colorado Springs,This project will enable the construction of a new building for the first ever co-located Children’s Advocacy Center in Colorado. This facility will co-locate and streamline services for survivors of child abuse as they move through the justice syste,360000.0,,,,,,,2,Colorado,Michael,CO,,,1,37692,FY2023,F,B001267,Urban Development,,-104.8233,38.83158,-104.8233,38.83158,establishment,rooftop,121 s tejon st #700,colorado springs,co 80903,usa,"38.83299, 38.83029,-104.822118,-104.824816",S,2382,Community Development Fund,Department of Housing and Urban Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12657,12657
Bennet,CO,LHHS,,,"Inner City Health Center, CO, for facilities and equipment",2820000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Inner City Health Center,Denver,"This project will support clinic renovations for Inner City Health Center. Funding will concentrate on renovating existing medical exam rooms, dental operations, a community outreach department, and the addition of a physical activity center, and aux",2820000.0,,,,,,,2,Colorado,Michael,CO,,,1,23612,FY2023,F,B001267,Health,Hospitals & Clincs,-104.9592,39.76946,-104.9592,39.76946,dentist,rooftop,3800 york st,denver,co 80205,usa,"39.77081, 39.76811,-104.957644,-104.960342",S,4557,Health Resources and Services Administration,Department of Health and Human Services,,,,2.0,S,1410000.0,0,2,0.0,2820000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,7785,7785
Bennet,CO,LHHS,,,"Fort Lewis College, CO, for a nursing workforce education degree program",1300000.0,,,Michael F. Bennet,11/28/64,M,3.0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,Fort Lewis College,Durango,"This project will allow Fort Lewis College, in partnership with the University of Colorado Anschutz College of Nursing, to create a four-year degree in nursing. This program will adopt inclusive teaching practices and provide solutions to nursing sho",1300000.0,,,,,,,2,Colorado,Michael,CO,,,1,19161,FY2023,F,B001267,Education,Higher Ed,-107.8712,37.27369,-107.8712,37.27369,establishment,rooftop,1000 rim dr,durango,co 81301,usa,"37.27497, 37.27227,-107.869908,-107.872606",S,5625,Higher Education,Department of Education,,,,2.0,S,650000.0,0,2,0.0,1300000.0,Michael,F.,,B001267,,,,,,,,,,,,,,,,,,,,,,,6196,6196
