last,st,chamber,id,subcommittee,account,department,recipient,location,project,budget_request,additional_amount,amount,first.x,multi,origination,member_amount,house_mem,sentate_mem,house_tot,senate_tot,first.y,middle_name,suffix,nickname,full_name,birthday,gender,district,senate_class,party,bioguide_id,recipient.x,recipient.y,project.x,project.y,amount.x,suffix.x,nickname.x,full_name.x,birthday.x,gender.x,senate_class.x,party.x,...35,...36,state,first,full_name.y,project_st,amount.y,senate_class.y,party.y,member_id,pvi_2020,request_num,ID,FY,middle,member_ID,suffix.y,nickname.y,birthday.y,gender.y,cat,sub,address.lon,address.lat,formatted_address.lon,formatted_address.lat,formatted_address.type,formatted_address.loctype,formatted_address.address,formatted_address.north,formatted_address.south,formatted_address.east,formatted_address.west
Brown,OH,S,4540,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,,"Hocking Valley Community Hospital, OH, for equipment",,,1000000.0,,1.0,S,1000000.0,0,1,0.0,1000000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,4704,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,,"Netcare Access, OH, for facilities and equipment",,,250000.0,,1.0,S,250000.0,0,1,0.0,250000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,4728,LHHS,Health Resources and Services Administration,Department of Health and Human Services,,,"Northeast Ohio Medical University, OH, for facilities and equipment",,,2000000.0,,1.0,S,2000000.0,0,1,0.0,2000000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,6074,Interior,STAG- Drinking Water State Revolving Fund,Environmental Protection Agency,,,Ironton for Water Main Extension and Booster Station Improvements Project,,,2000000.0,,1.0,S,2000000.0,0,1,0.0,2000000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,6075,Interior,STAG- Drinking Water State Revolving Fund,Environmental Protection Agency,,Cleveland,Cleveland Water for Potable Water System Upgrade,,,1000000.0,,1.0,S,1000000.0,0,1,0.0,1000000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,5490,LHHS,Elementary and Secondary Education,Department of Education,,,"TECH CORPS, OH, for purchase of technology and equipment for STEM education",,,140000.0,,1.0,S,140000.0,0,1,0.0,140000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,6922,EW,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Canfield Township,"Ohio Environmental Infrastructure, Section 594, OH (Canfield Township)",,1000000.0,1000000.0,,1.0,S,1000000.0,0,1,0.0,1000000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,6679,Interior,Historic Preservation Fund-Save America's Treasures Grants,National Park Service,,,Foundation for Appalachian Ohio for Macedonia Missionary Baptist Church Revitalization,,,100000.0,,1.0,S,100000.0,0,1,0.0,100000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,6921,EW,Construction,Army Corps of Engineers (Civil),U.S. Army Corps of Engineers,Avon Lake,"Ohio Environmental Infrastructure, Section 594, OH (Avon Lake)",,1000000.0,1000000.0,,1.0,S,1000000.0,0,1,0.0,1000000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,OH,S,6635,Interior,State and Private Forestry-Forest Resource Information and Analysis,Forest Service,,,Holden Arboretum's Forest Resiliency and Conservation and Canopy Coverage Expansion Project,,,335000.0,,1.0,S,335000.0,0,1,0.0,335000.0,Sherrod,,,,Sherrod Brown,11/9/52,M,,1.0,Democrat,B000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
